UncompMagX;UncompMagY;UncompMagZ;UncompAccX;UncompAccY;UncompAccZ;UncompGyroX;UncompGyroY;UncompGyroZ;Temperature;Pressure
-00,101;+00,185;-00,001;+01,3830;-06,3230;-10,5870;+00,456834;+00,830115;+00,115646;+031,90;+101,17
-00,101;+00,183;-00,004;+01,6750;-05,0040;-09,5920;+00,607109;+01,099683;-00,286661;+031,90;+101,16
-00,103;+00,185;-00,009;+01,6340;-03,3380;-09,6810;+00,762281;+01,329337;-00,573098;+031,90;+101,19
-00,107;+00,183;-00,010;+01,1750;-01,7170;-10,4140;+00,912159;+01,583964;-00,744409;+031,90;+101,17
-00,107;+00,184;-00,015;+00,3780;-00,6220;-11,5750;+01,052046;+01,861782;-00,839304;+031,90;+101,16
-00,112;+00,180;-00,021;-00,0710;+00,4610;-11,8960;+01,123736;+02,197384;-00,888549;+031,90;+101,17
-00,114;+00,185;-00,024;-00,2210;+01,5810;-11,5320;+01,162095;+02,488811;-00,838873;+031,90;+101,16
-00,117;+00,182;-00,031;-00,3960;+02,5520;-10,7540;+01,162821;+02,732403;-00,727343;+031,90;+101,16
-00,121;+00,185;-00,040;-00,5130;+03,3650;-10,4510;+01,181283;+02,903139;-00,576409;+031,90;+101,17
-00,123;+00,181;-00,041;-01,0080;+03,7550;-10,5570;+01,210551;+03,070256;-00,417498;+031,90;+101,17
-00,125;+00,182;-00,051;-01,4780;+03,7300;-11,0560;+01,258554;+03,234985;-00,268175;+031,90;+101,17
-00,127;+00,181;-00,057;-02,4340;+03,4850;-11,9850;+01,303296;+03,441199;-00,162001;+031,90;+101,17
-00,128;+00,183;-00,063;-03,0530;+02,8170;-11,9390;+01,319934;+03,691996;-00,105220;+031,90;+101,16
-00,129;+00,182;-00,073;-03,4810;+02,2850;-11,5510;+01,316174;+03,894089;-00,086135;+031,90;+101,19
-00,131;+00,186;-00,082;-03,8120;+01,7590;-10,9220;+01,323791;+04,042192;-00,107683;+031,90;+101,19
-00,130;+00,184;-00,092;-04,0410;+01,2370;-10,1890;+01,304071;+04,124214;-00,180480;+031,90;+101,17
-00,132;+00,182;-00,101;-04,3650;+01,0320;-10,1970;+01,313699;+04,115564;-00,269497;+031,90;+101,17
-00,132;+00,182;-00,111;-05,0850;+00,9180;-10,4090;+01,326050;+04,112962;-00,384950;+031,90;+101,17
-00,132;+00,182;-00,116;-05,4570;+01,0090;-10,4200;+01,354561;+04,094885;-00,489922;+031,90;+101,17
-00,131;+00,178;-00,126;-06,1280;+01,2700;-10,2280;+01,360718;+04,068550;-00,569701;+031,90;+101,17
-00,130;+00,180;-00,133;-06,3470;+01,6680;-10,2820;+01,307564;+04,035802;-00,596799;+031,90;+101,17
-00,130;+00,177;-00,142;-07,3730;+02,3380;-12,1870;+01,255044;+04,014050;-00,545413;+031,90;+101,17
-00,128;+00,178;-00,150;-08,1500;+03,1160;-13,3540;+01,222444;+04,097875;-00,428784;+031,90;+101,18
-00,125;+00,175;-00,159;-08,3880;+03,8870;-12,9420;+01,234494;+04,162435;-00,262010;+031,90;+101,17
-00,124;+00,175;-00,167;-08,2980;+04,0420;-12,2720;+01,277379;+04,159213;-00,076075;+031,90;+101,17
-00,119;+00,172;-00,176;-08,8580;+02,3090;-13,4230;+01,304319;+04,115393;+00,074534;+031,90;+101,16
-00,116;+00,173;-00,185;-10,8040;-00,1070;-14,2060;+01,244076;+04,196558;-00,005779;+031,90;+101,17
-00,112;+00,171;-00,192;-11,4130;-01,1300;-12,5650;+01,156826;+04,271168;-00,245932;+031,90;+101,17
-00,109;+00,172;-00,198;-11,6210;+00,5350;-10,4450;+01,142763;+04,161664;-00,507785;+031,90;+101,17
-00,106;+00,169;-00,206;-12,3330;+02,1590;-09,5600;+01,138948;+03,946248;-00,658099;+031,90;+101,17
-00,102;+00,167;-00,212;-13,1870;+03,0600;-09,5310;+01,005667;+03,704976;-00,696857;+031,90;+101,17
-00,099;+00,164;-00,215;-13,7390;+03,8600;-08,4590;+00,781045;+03,418914;-00,652545;+031,90;+101,16
-00,096;+00,164;-00,224;-14,0890;+04,5040;-06,5080;+00,520694;+03,042747;-00,520635;+031,90;+101,17
-00,093;+00,161;-00,227;-14,6590;+04,7080;-04,3860;+00,346897;+02,584572;-00,328661;+031,90;+101,17
-00,090;+00,162;-00,233;-15,2400;+04,0850;-02,1460;+00,242375;+02,050848;-00,139141;+031,90;+101,17
-00,087;+00,161;-00,233;-15,8790;+03,7430;+00,2630;+00,185529;+01,464030;+00,022615;+031,90;+101,16
-00,087;+00,160;-00,237;-16,0480;+04,0860;+01,3590;+00,200905;+00,851809;+00,154930;+031,90;+101,17
-00,085;+00,160;-00,235;-16,3850;+04,7750;+00,9690;+00,259796;+00,246667;+00,268308;+031,90;+101,17
-00,084;+00,163;-00,236;-16,5430;+04,9890;+00,6920;+00,140365;-00,249377;+00,442035;+031,90;+101,17
-00,082;+00,159;-00,234;-16,0770;+05,2010;-00,2270;-00,172764;-00,715709;+00,687422;+031,90;+101,17
-00,084;+00,165;-00,235;-10,3020;+03,3520;+12,4720;-00,878733;-01,703578;+00,489995;+031,90;+101,17
-00,087;+00,164;-00,228;-16,7420;+01,9600;+00,2870;-01,631703;-03,026389;+00,836521;+031,90;+101,17
-00,088;+00,168;-00,226;+05,8390;+01,1100;-15,6300;-01,712859;-02,427319;+00,749033;+031,90;+101,17
-00,091;+00,170;-00,219;+15,0650;-00,9220;-16,8510;-01,140698;-04,019252;+00,477676;+031,90;+101,19
-00,094;+00,174;-00,213;-08,9610;-05,5890;-08,3480;-00,965733;-04,518572;+00,328588;+031,90;+101,16
-00,100;+00,173;-00,204;-18,6240;-03,7150;-14,4940;-01,064658;-03,794316;-00,157444;+031,90;+101,17
-00,103;+00,175;-00,199;-08,2220;-00,0950;-24,6050;-00,444061;-03,115004;-00,646376;+031,90;+101,17
-00,108;+00,174;-00,190;-03,9040;+05,2460;-16,5080;-00,564284;-02,760852;-00,332424;+031,90;+101,17
-00,110;+00,177;-00,189;-01,2720;+06,6500;-08,7950;-00,492142;-02,744768;+00,026335;+031,90;+101,17
-00,113;+00,176;-00,186;+00,4590;+05,2680;-06,5230;-00,001555;-02,850025;+00,117881;+031,90;+101,17
-00,116;+00,176;-00,183;-00,5180;+03,0380;-06,7670;+00,401571;-03,034226;+00,153597;+031,90;+101,17
-00,117;+00,175;-00,178;-04,8860;+00,3110;-11,5130;+00,502564;-03,002761;+00,271982;+031,90;+101,19
-00,119;+00,176;-00,177;-09,4350;-03,2540;-16,7390;+00,545505;-02,669268;+00,198098;+031,90;+101,17
-00,120;+00,176;-00,173;-08,6440;-05,8980;-15,5810;+00,442028;-02,155184;+00,048601;+031,90;+101,17
-00,122;+00,177;-00,173;-07,2080;-06,2570;-16,4250;-00,019921;-01,797337;-00,044054;+031,90;+101,17
-00,123;+00,174;-00,167;-05,7520;-02,8410;-13,9560;-00,232629;-01,441309;-00,039673;+031,90;+101,17
-00,126;+00,176;-00,167;-06,1620;+00,9910;-13,2570;-00,398034;-01,269976;+00,048699;+031,90;+101,19
-00,126;+00,176;-00,162;-03,2470;-00,1330;-11,5180;-00,493241;-01,140342;+00,026324;+031,90;+101,17
-00,125;+00,175;-00,162;-06,2080;-01,4600;-12,6990;-00,599953;-00,945752;-00,002754;+031,90;+101,17
-00,126;+00,176;-00,157;-05,0740;-01,4710;-10,8360;-00,753074;-00,732199;+00,018084;+031,90;+101,19
-00,127;+00,177;-00,156;-04,1340;+00,5560;-10,8850;-00,799141;-00,568835;+00,050998;+031,90;+101,17
-00,127;+00,175;-00,152;-03,9930;+01,6540;-11,3270;-00,669647;-00,434287;+00,048608;+031,90;+101,17
-00,127;+00,178;-00,153;-04,7180;+02,3930;-12,0840;-00,329238;-00,343837;+00,006099;+031,90;+101,17
-00,127;+00,175;-00,149;-03,1530;+00,1890;-09,7210;-00,182446;-00,324812;-00,055808;+031,90;+101,17
-00,129;+00,176;-00,151;-03,5860;-00,0340;-10,0720;-00,118089;-00,298341;-00,054237;+031,90;+101,17
-00,128;+00,178;-00,148;-03,5830;+00,2300;-09,5770;-00,055340;-00,247690;-00,056930;+031,90;+101,17
-00,128;+00,179;-00,151;-03,1170;-00,1150;-09,2580;-00,031089;-00,249318;-00,066615;+031,90;+101,19
-00,130;+00,177;-00,147;-03,3810;-00,1830;-09,3430;-00,024086;-00,240199;-00,066602;+031,90;+101,17
-00,129;+00,179;-00,149;-03,4930;-00,2850;-09,3280;-00,047191;-00,186647;-00,065077;+031,90;+101,17
